ClientId,ServiceID,DeliveredID
107,32,2
110,32,2
113,32,2
141,32,2
167,32,2
203,32,2
257,32,2
372,32,2
501,32,2
545,32,2
600,32,2
671,32,2
685,32,2
728,32,2
734,32,2
850,32,2
877,32,2
883,32,2
911,32,2
922,32,2
927,32,2
1038,32,2
1095,32,2
1140,32,2
1445,32,2
1472,32,2
1503,32,2
1546,32,2
1626,32,2
1668,32,2
1723,32,2
1733,32,2
1793,32,2
1857,32,2
1869,32,2
1985,32,2
1992,32,2
2013,32,2
2124,32,2
2149,32,2
2182,32,2
2193,32,2
2277,32,2
2309,32,2
2344,32,2
2348,32,2
2376,32,2
2412,32,2
2464,32,2
2476,32,2
2487,32,2
2564,32,2
2592,32,2
2596,32,2
2645,32,2
2691,32,2
2695,32,2
2779,32,2
3181,32,2
3196,32,2
3202,32,2
3235,32,2
3276,32,2
3318,32,2
3339,32,2
3362,32,2
3442,32,2
3444,32,2
3474,32,2
3492,32,2
3513,32,2
3553,32,2
3571,32,2
3586,32,2
3588,32,2
3617,32,2
3676,32,2
3694,32,2
3719,32,2
3736,32,2
3739,32,2
3751,32,2
3756,32,2
3774,32,2
3779,32,2
3802,32,2
3808,32,2
3867,32,2
3872,32,2
3917,32,2
3927,32,2
3999,32,2
4000,32,2
4061,32,2
4094,32,2
4114,32,2
4188,32,2
4209,32,2
4233,32,2
4249,32,2
4300,32,2
4331,32,2
4339,32,2
4348,32,2
4374,32,2
4391,32,2
4415,32,2
4428,32,2
4439,32,2
4488,32,2
4521,32,2
4536,32,2
4581,32,2
4651,32,2
4657,32,2
4661,32,2
4673,32,2
4690,32,2
4730,32,2
